Topic,Count,theme1,theme2,Name,Representation,Representative_Docs,,,,,,,,,,,,,,,,,,,,,
187,154,Chidrearing cost,Chid Safety,187_Nurse_Nurse_6 years_country,"['Nurse', 'The nurse is', '6 years', 'Is it a country', 'imprisonment', 'The nurse is', 'at most', 'Ayoung', 'Seol-yoon', 'If you get hit']","['To be honest, I think there were many nurses other than Ah-young who made Ah-young die, but even a newborn is a life. 6 years is nothing. If the child had lived, she would have lived a long time. 6 years is not enough. Other people get the death penalty for killing someone, so I'm disappointed with only 6 years.', 'Ah-young's father and Ah-young's mother were hurt, but the nurse who committed the crime just gets released after living a few years. The law is really weak. In the US, if you do something wrong, the law says you'll be imprisoned for at least 30,000 or 20,000 years.', 'Ah-young's father and Ah-young's mother were hurt, but the nurse who committed the crime just gets released after living a few years. The law is really weak. In the US, if you do something wrong, the law says you'll be imprisoned for at least 30,000 or 20,000 years.']",,,,,,,,,,,,,,,,,,,,,
188,380,Chidrearing cost,Chid Safety,188_Marriage_Men_Marriage_Men_Marriage_,"['marriage', 'man', 'man too', 'marriage is', 'wife', 'woman', 'woman', 'when married', 'only money', 'man']","['Mental problems are big lol These days, people in my era only pursue a rational life, so in the past, people got married even if they couldn't make money, but now, it seems like marriage isn't the ultimate goal. Of course, it's hard to get married due to external factors, but the problem is that we only consider external factors', 'There are a lot of people sleeping on the street in the early morning. I'm one of them. A woman in her 40s was so drunk that it was hard to tell people apart and couldn't control her body, and a middle school student took advantage of this to sexually assault an adult in her 40s. She's a 15-year-old, 3rd year of middle school, so they'll probably get off easy. I guess she'll get a slap on the wrist', 'There are a lot of people sleeping on the street in the early morning. I'm one of them. A woman in her 40s was so drunk that it was hard to tell people apart and couldn't control her body, and a middle school student took advantage of this to sexually assault an adult in her 40s. She's a 15-year-old, 3rd year of middle school, so they'll probably get off easy. I guess she'll get a slap on the wrist']",,,,,,,,,,,,,,,,,,,,,
189,185,Utility,Reproduction,189_Third_Second and_Second_Second,"['Third', 'Second', 'Second', 'Second', 'First', 'First', 'Third', 'Third younger brother', 'First', 'Second']","['The second and third ones are pretty', 'The second and third ones really look the same', 'The second and third ones are pretty']",,,,,,,,,,,,,,,,,,,,,
190,177,Utility,Emotional Support,190_lovely_lovely_lovely_lovely_I love you,"['lovely', 'lovely', 'lovely', 'I love you', 'lovely', 'lovely', 'lovely', 'lovelyㅠㅠ', 'lovely']","['So lovely', 'Really so lovely', 'Really so lovely']",,,,,,,,,,,,,,,,,,,,,
191,119,Utility,Emotional Support,191_It's cute_It's cute_It looks cute_I say it's cute,"['It's cute', 'It's cute', 'It looks cute', 'It's cute', 'It's cute but sad', 'It's cute', 'It's a story', 'It's cute', 'It's cute']","['You're cute', 'You're cute', 'You're cute']",,,,,,,,,,,,,,,,,,,,,
192,238,Utility,Emotional Support,192_Dad_and_Uncle_Dad_Cries_Largely,"['Dad', 'Uncle', 'Dad', 'Daesung Tonggok', 'With Dad', 'Only Talk', 'With Baby', 'Dad is', 'Cuyeoulsoo', 'Smile']","['The kids are okay, but their dad doesn't look okay lol The backs of the babies can't be this cute', 'I smile just watching this even though I don't care at all, but for real dads it's not like they're late, it's like the day flies by lol If I tell them a scary story, they'll become a scary kid in 2 years lol', 'I smile just watching this even though I don't care at all, but for real dads it's not like they're late, it's like the day flies by lol If I tell them a scary story, they'll become a scary kid in 2 years lol']",,,,,,,,,,,,,,,,,,,,,
193,138,,,193_Heartlist_Heart_Heart_Only_Malicious_Comments,"['Heartlist', 'Heart', 'Heart', 'Only bad comments', 'Up', 'Look', 'Good comments', 'Rise', 'Like', 'Number of hearts']","['heart list', 'heart list', 'heart list']",,,,,,,,,,,,,,,,,,,,,
194,106,,,194_The chopsticks_are_bending_but_the_chopsticks_are_bending,"['chopsticks', 'chopsticks', 'whipped', 'whipped', 'correction', 'whipped', 'whipped', 'whipped', 'whipped', 'whipped', 'brain cut TV']","['The chopsticks are bending', 'The chopsticks are bending', 'The chopsticks are bending']",,,,,,,,,,,,,,,,,,,,,
195,131,Chidrearing cost,Chid Safety,195_Cold_Cold_Is it a cold or diarrhea?,"['cold', 'cold-like', 'cold-like', 'diarrhea-like', 'enteritis', 'enteritis', 'pneumonia', 'diarrhea', 'can die', 'emergency room']","['Can a patient get a diagnosis of a cold or diarrhea?', 'You can die from a cold or diarrhea.', 'Even if a cold doesn't look like much on the outside, it's not a disease to take lightly if it's serious enough to bring you to the emergency room. High fever and dehydration are life-threatening symptoms. Do you think the average person would be able to tell the difference between a simple cold and diarrhea? Tsk tsk. If you had a fever of over 39 degrees Celsius with cold symptoms, wouldn't you go to the emergency room? Lol']",,,,,,,,,,,,,,,,,,,,,
196,160,Utility,Emotional Support,196_Fathers_Have_no_thing_but_to_be_fools_for_their_daughters,"['daughter fool', 'daughter fool', 'it has to be', 'fathers', 'fathers', 'gold medal', 'daughter', 'fathers', 'process', 'it can't be']","['If this continues, even mom will become a daughter fool', 'Daughter fool', 'Fighting daughter fool']",,,,,,,,,,,,,,,,,,,,,
197,261,Health,Fear of Childbirth,197_Mom_is_great_Uncle_Moms_are_great,"['Mom', 'Great', 'Uncle', 'Moms', 'My Mom', 'Mom', 'Mom is', 'Golden', 'Dad', 'Amazing']","['Mom is the best', 'My mom who gave birth to my brother and sister naturally is really amazing. All the mothers in the world, cheer up', 'My mom who gave birth to my brother and sister naturally is really amazing. All the mothers in the world, cheer up']",,,,,,,,,,,,,,,,,,,,,
198,141,Chidrearing cost,Economic Uncertainty,198_Privatization_Tax_Healthcare_Insurance_Medical,"['privatization', 'tax', 'health insurance', 'medical', 'hospital fees', 'Korea', 'actual cost', 'pay', 'pay', 'medical expenses']","['Korea is a better place to live. If you live abroad, you don't have money for taxes, rent, food, etc. People with low incomes say it's okay to live like that, but people who say welfare is good are low-income people', 'If our country pays that much in taxes, it will turn around and people will leave malicious comments saying foreigners pay a lot in taxes and get welfare benefits', 'If our country pays that much in taxes, it will turn around and people will leave malicious comments saying foreigners pay a lot in taxes and get welfare benefits']",,,,,,,,,,,,,,,,,,,,,
199,127,Utility,Reproduction,199_Have a safe delivery_Have a safe delivery_Have a safe delivery_Have a safe delivery,"['Have a safe birth', 'Have a safe birth', 'Have a safe birth', 'Have a safe birth', 'Have a safe birth', 'Have a safe birth', 'Have a safe birth', 'Have a safe birth', 'It's late', 'He died']","['Have a safe delivery', 'Have a safe delivery', 'Have a safe delivery']",,,,,,,,,,,,,,,,,,,,,
200,190,,,200_Physiognomy_is_a_lies_science_a_lie_,"['Physiognomy', 'lie', 'science', 'liar', 'bitter taste', 'statistics', 'lie', 'fraud', 'believe', 'this']","['Tteokbokki ㅋㅋㅋㅋ', 'Tteokbokki', 'Tteokbokki']",,,,,,,,,,,,,,,,,,,,,
201,170,Chidrearing cost,Chid Safety,201_Genes_Genes_are_corrected_and_changed,"['gene', 'genes', 'correction', 'change', 'with me', 'genes', 'human', 'beautiful', 'family tree', 'devil']","['Gene', 'She's probably just a devil disguised as a human. How can something like that be human? The person who employed something like that probably isn't human.', 'She's probably just a devil disguised as a human. How can something like that be human? The person who employed something like that probably isn't human.']",,,,,,,,,,,,,,,,,,,,,
202,156,,,202_Padrip_Padrip_Kim Shin-young_Kang Mi-jeong,"['Padrip', 'Padrip', 'Kim Shin-young', 'Kang Mi-jeong', 'Self', 'Samcheong Education Corps', 'Tinkerbell', 'Padripㅋㅋ', 'Padripinjul', 'Napda']","['Suddenly Padlip', 'Suddenly Padlip', 'Padlip']",,,,,,,,,,,,,,,,,,,,,
203,145,Utility,Emotional Support,203_So smart_So smart_So wise_So smart,"['You're smart', 'You're smart', 'You're smart', 'You're capable', 'You're smart', 'You're smart', 'You're young', 'You have character']","['smart', 'smart', 'really smart']",,,,,,,,,,,,,,,,,,,,,
204,251,Utility,Emotional Support,204_I'm rooting for you_Fighting_Fighting_Fighting,"['I'm rooting for you', 'Fighting', 'Hwaiting', 'Fighting', 'Cheer up', 'Cheer up', 'Cheer up', 'Cheer up', 'Cheer up', 'Cheer up', 'Mr. President']","['Cheer up, fighting', 'I'm cheering for you, cheer up, fighting', 'Fighting, cheer up, I'm rooting for you']",,,,,,,,,,,,,,,,,,,,,
205,140,Utility,Reproduction,205_Nine Baby_Follow Baby_Follow_My Baby,"['Nine Baby', 'Follow Baby', 'Follow', 'My Baby', 'Nine Baby', 'Nine Baby B', 'Line Baby', 'Night Baby', 'Line Baby D', 'Follow Baby 2']","['Nine Baby', 'Nine Baby', 'Nine Baby']",,,,,,,,,,,,,,,,,,,,,
206,139,,,206_Correct answer_Congratulations_Respect_Pogumi,"['correct answer', 'congratulations', 'respect', 'poop', 'applause', 'congratulations', 'I will keep that in mind', 'respect', 'congratulations', 'answer']","['correct answer', 'correct answer', 'correct answer']",,,,,,,,,,,,,,,,,,,,,
207,316,Utility,Socialization,207_Baby_My_Heart_Is_Tearful_Baby,"['Baby', 'My heart', 'Tears', 'Baby', 'It hurts', 'See', 'I pray', 'In the stomach', 'Baby', 'Don't cry']","['This is like a spell for yourself lol As a mom of twins, what I have to say is that there will be times when you will hold the babies alone and shed tears a few times lol I was having a hard time and didn't know what to do so I cried a lot but the joy doubled so I was able to endure it ㅎㅎ Stay strong, fighting!', 'I pray for the deceased to rest in peace. How could he close his eyes leaving behind two rabbit-like daughters and a pretty wife ㅠㅠ I hope he is well in a good place and just like my eldest daughter said, when we pass away later, you will have to come pick him up. It makes me teary to hear him say that ㅠㅠ I hope he rests in peace ㅠㅠㅠ', 'I pray for the deceased to rest in peace. How could he close his eyes leaving behind two rabbit-like daughters and a pretty wife ㅠㅠ I hope he is well in a good place and just like my eldest daughter said, when we pass away later, you will have to come pick him up. It makes me teary to hear him say that ㅠㅠ I hope he rests in peace ㅠㅠㅠ']",,,,,,,,,,,,,,,,,,,,,
208,220,,,208_That's not right_don't worry,"['That', 'That's right', 'That's not true', 'I'm worried', 'I did it', 'What', 'It's embarrassing', 'I guess so', 'That's right', 'That's right']","['That's a bit', 'It means Tanggeum. I'm hearing it for the first time, so I'm not sure what it means', 'It means Tanggeum. I'm hearing it for the first time, so I'm not sure what it means']",,,,,,,,,,,,,,,,,,,,,
209,128,Values,Conflict,209_Oh my gosh_I'm crying so loudly_Oh Hyun Sil,"['Ehyo', 'Oh my god', 'I'm crying so hard', 'Oh Hyun Sil', 'I'm crying so hard', 'Heul Heul', 'Evan De', 'Oh my god', 'Heul Dae Bak', 'Heul Dae Bon I']","['wailing loudly', 'wailing loudly', 'wailing loudly']",,,,,,,,,,,,,,,,,,,,,
210,104,,,210_Cool_I_can't_laugh_please,"['Cool', 'Hide', 'Funny', 'No, please', 'Do somersaults', 'Drip', 'Stop', 'Is it something', 'Iwa', 'Is it coming down']","['This is so funny I can't breathe Oh my goodness Where do jokes like this come from Maybe I'm going down the rabbit hole Stop my somersault Thanks to funny people like you This is so funny I can't breathe Please save my life This is really funny', 'This is so funny I can't breathe Oh my goodness Where do jokes like this come from Maybe I'm going down the rabbit hole Stop my somersault Thanks to funny people like you This is so funny I can't breathe Please save my life This is really funny', 'This is so funny I can't breathe Oh my goodness Where do jokes like this come from Maybe I'm going down the rabbit hole Stop my somersault Thanks to funny people like you This is so funny I can't breathe Please save my life This is really funny']",,,,,,,,,,,,,,,,,,,,,
211,130,,,211_6 years_correct answer_while_eating_while_excessive,"['6 years', 'That's the right answer', 'While eating', 'While overdoing it', 'You're doing it', 'While eating', 'While eating', 'That's the right answer', 'Mala Tang', 'While smiling']","['I'm really curious. The mukbang and dubbing are separate, so what's the problem? Is the topic the problem? Are you going to throw eggs at it?', 'They only sentenced them to 6 years, but 20 years isn't enough. Isn't 6 years too little? This is really absurd.', 'They only sentenced them to 6 years, but 20 years isn't enough. Isn't 6 years too little? This is really absurd.']",,,,,,,,,,,,,,,,,,,,,
212,196,Population Structure,State Intervention,212_400_100 million_I_need_to_give_600 million,"['4 thousand', '100 million', 'I have to give it to you', '600 million', 'Our country is', '1 billion', 'length of', '400 million is', '400 million', '500 million']","['Just looking at the price of a house, it's normal to need about 800 million won to live there. Isn't that obvious?', 'That's an exaggeration. If it's that much, it's not the average 500 million won, it's the average 1 billion won.', 'That's an exaggeration. If it's that much, it's not the average 500 million won, it's the average 1 billion won.']",,,,,,,,,,,,,,,,,,,,,
213,165,Chidrearing cost,Chid Safety,213_What crime_What crime_What crime is the baby guilty of,"['What crime?', 'What crime?', 'The baby?', 'What crime?', 'Is it a crime?', 'The child?', 'The child?', 'The children?', 'I can't see it?']","['What is the child's crime?', 'What is the child's crime?', 'What is the baby's crime?']",,,,,,,,,,,,,,,,,,,,,
214,200,Utility,Reproduction,214_In the stomach_In the stomach_Please_split,"['in the stomach', 'in the stomach', 'split', 'please', 'umm', 'mom is', 'mom', '1 year old', 'in the water', 'on the stomach']","['You were swollen in the water for 10 months before you came out, so what do you think you'll be like?', 'Even if you give birth, please ...",,,,,,,,,,,,,,,,,,,,,
215,150,,,215_Eww_Eww_Hahahahahahaha_Keepe,"['Eww', 'Eww', 'Hahahahahahaha', 'Keejjit', 'Geukgeukgeukgeuk', 'Soriga', 'Up', 'Huhk', 'Wow', 'Surprised']","['Eww', 'Eww', 'Eww']",,,,,,,,,,,,,,,,,,,,,
216,114,,,216_YeokSamJung_I_saw_Yesterday_YeokSam,"['Yeok Sam Jung', 'Yesterday', 'I saw it', 'Yeok Sam', 'To Yeok Sam Jung', 'Daechi', 'Dogok', 'Yeok Sam Jung', 'Today', 'I saw it']","['I saw it yesterday', 'I saw it yesterday', 'I saw it yesterday']",,,,,,,,,,,,,,,,,,,,,
217,274,Utility,Emotional Support,217_Wow_Wow_This is amazing_This is awesome,"['Wow', 'Wow', 'Amazing', 'This is awesome', 'Amazing', 'This is amazing', 'Wow, this is awesome', 'This is amazing']","['This is awesome', 'This is awesome', 'This is really awesome']",,,,,,,,,,,,,,,,,,,,,
218,294,,,218_Dampyeon_Nugi_Gokseong_Lee,"['Dampyeon', 'Nugi', 'Gokseong', 'Lee', 'Kim', 'Kingyul', 'Choi', '2ui', 'Hasyeotseo', 'Caesarean section']","['There is a Lee family from Gyeongju', 'It's cute to have a crush on someone', 'It's cute to have a crush on someone']",,,,,,,,,,,,,,,,,,,,,
219,186,Utility,Emotional Support,219_May you be filled with good things_Happy_Live well,"['Good things only', 'Be happy', 'May you be full', 'Live well', 'Congratulations', 'From now on', 'Live', 'Happily', 'Happy', 'Congratulations']","['I hope only good things happen to you, congratulations', 'I'm crying, I hope only good things happen to you', 'I hope only good things happen to you always']",,,,,,,,,,,,,,,,,,,,,
220,145,Utility,Emotional Support,220_Good_hahahaha_I_forgot_that_you_are_handsome,"['kind', 'hahahaha', 'handsome', 'I forgot', 'you're raising me', 'better than me', 'kind', 'flexibility', 'discrimination', 'be kind']","['good', 'too good', 'too good']",,,,,,,,,,,,,,,,,,,,,
221,154,Chidrearing cost,Chid Safety,221_Stop_now_just_my,"['Stop', 'Now', 'Stop', 'My', 'Stop it', 'I'm sick of it', 'Let's stop', 'Video', 'Stop it', 'Please']","['Stop', 'Stop it now', 'Stop it now']",,,,,,,,,,,,,,,,,,,,,
222,139,,,222_ㅠㅠ_Young_ㅠㅠㅠㅠ_ㅠㅠㅠㅠㅠ,"['ㅠㅠ', 'Yeong-i', 'ㅠㅠㅠㅠ', 'ㅠㅠㅠㅠㅠ', 'ㅠㅠㅠㅠㅠㅠ', 'Yeong-hee', 'ㅠㅠㅋㅋㅋㅋ', 'Born and died', 'ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ', 'Until then']","['ㅠㅠ', 'ㅠㅠ', 'ㅠㅠ']",,,,,,,,,,,,,,,,,,,,,
223,179,Chidrearing cost,Chid Safety,223_2350_Earth_Map_The_Earth_is_2024_years_old,"['2350', 'Earth map', 'Earth', '2024 years old', 'Until then', 'Before I knew it', '600 years', '20 years', 'In 2050', '2350 is']","['It's already been a while since it started, but in 20 years from now, 80% of the population will be old and sick patients', '2350', '2350 lol']",,,,,,,,,,,,,,,,,,,,,
224,115,,,224_Eunjae Kong_Candy_Hungary_Doctor's Office,"['Eunjaekong', 'Candy', 'Hungary', 'Will', 'Edit', 'Continue', 'That's a method', 'It seems like a good method', 'I thought it was Eunjaekong', 'I'll give it to you']","['I happened to see this video and found out about the controversy, but I can definitely feel that the level of TikTok is low. Honestly, I understand because they're young, but it seems like this person has a problem too. They keep getting cursed at, but they keep uploading similar videos. They say their purpose is to make the issue public, but I wonder why they don't know why they're getting hate comments', 'Honestly, they must have become famous because of the TikTok video for Mala Tang Restaurant and made a lot of money, so what's so regrettable that they continue to do viral marketing? It might hurt some people and they might not want to talk about it, but honestly, I didn't know that Ahn Hyun-song was the one who did that when TikTokers spread all over the place. Haha, please', 'Honestly, they must have become famous because of the TikTok video for Mala Tang Restaurant and made a lot of money, so what's so regrettable that they continue to do viral marketing? It might hurt some people and they might not want to talk about it, but honestly, I didn't know that Ahn Hyun-song was the one who did that when TikTokers spread all over the place. Haha, please']",,,,,,,,,,,,,,,,,,,,,
225,172,Population Structure,State Intervention,225_Kindergarten_Private education_Private education_Education expenses,"['Kindergarten', 'private education', 'private education', 'education costs', 'Korea', 'private education', 'private education', 'the problem is', 'academy costs', 'problem paper']","['In Hungary, there is no private education, so 4,000 is enough. The cost of children's supplies is reasonable, and the school teaches everything. For example, the famous Hungarian artist Delgo is the music teacher, and it is good that the art class is like this for painters', 'In Korea, high school doesn't cost much if you exclude private education. There are people who say that private education shouldn't be done, but only the kids who are qualified can do it. If a family with no money borrows money to make them pay for it, both the parents and I will end up beggars', 'In Korea, high school doesn't cost much if you exclude private education. There are people who say that private education shouldn't be done, but only the kids who are qualified can do it. If a family with no money borrows money to make them pay for it, both the parents and I will end up beggars']",,,,,,,,,,,,,,,,,,,,,
226,200,Utility,Emotional Support,226_Congratulations_Congratulations_Congratulations_Congratulations,"['Congratulations', 'Congratulations', 'Congratulations', 'Congratulations', 'Congratulations', 'I congratulate you', 'I congratulate you', 'I congratulate you', 'I congratulate you']","['Congratulations', 'Congratulations', 'Congratulations']",,,,,,,,,,,,,,,,,,,,,
227,176,Values,Gender Equality,227_Conflict between men and women_Men and women_Mistaken_Republic of Korea,"['Gender conflict', 'Namnyeo', 'I did something wrong', 'Bohanminguk', 'Women', 'Only men', 'When talking', 'The man's fault', 'The man', 'Drinking alcohol']","['ㅋㅋㅋㅋㅋ Don't you know what I'm talking about yet? Can't you see those kids are having an accident, you Korean people? ㅋㅋㅋ What kind of men are doing this? ㅋㅋ Korean people? Tsk tsk', 'The fight between the sexes is getting worse, so they can't get married. They blame each other and fight and hate each other. The more this happens, the more I think I should filter out those kinds of men and women.', 'The fight between the sexes is getting worse, so they can't get married. They blame each other and fight and hate each other. The more this happens, the more I think I should filter out those kinds of men and women.']",,,,,,,,,,,,,,,,,,,,,
228,195,Utility,Emotional Support,228_happy_looks happy_looks happy_happy,"['Happy', 'Looks happy', 'Looks happy', 'Happy', 'Be happy', 'I'm happy', 'Daughter of faith', 'Happiness', 'Send it', 'I can see it']","['You are truly a filial daughter among filial daughters. Thank you. I hope you have a fun and happy life. Thank you.', 'Your husband seems like a very calm person, and both of you seem to be calm and quiet. I hope you get a good solution and build a good family.', 'Your husband seems like a very calm person, and both of you seem to be calm and quiet. I hope you get a good solution and build a good family.']",,,,,,,,,,,,,,,,,,,,,
229,140,Chidrearing cost,Expense,229_Monthly_rent_house_apartment_house,"['monthly rent', 'house', 'apartment', 'house', 'give me a house', 'monthly rent', 'apartment in the city', 'how much is it', 'try organizing the house', 'even if I solve it']","['I don't have a house, whether I have welfare or not, and even if I had a house, I'd have to pay off the loan by 70, lol. I don't want to pass on poverty', 'Monthly rent is 70,' 'I don't have a house, whether I have welfare or not, and even if I had a house, I'd have to pay off the loan by 70, lol. I don't want to pass on poverty']",,,,,,,,,,,,,,,,,,,,,
230,152,Utility,Emotional Support,230_Well done_Well done_Well done_Well done,"['Well done', 'Well done', 'Well done', 'Well done', 'Well done', 'I'll come', 'It seems okay', 'Thank you for taking care of it', 'Good policy', 'Thank you']","['Well done', 'Well done', 'Well done']",,,,,,,,,,,,,,,,,,,,,
231,185,Chidrearing cost,Chid Safety,231_6 years_6 years_just_selling_a_hat,"['6 years', '6 years', 'hat on a plate', 'at most', 'dead', 'verdict', 'judge', 'imprisonment', '60 years', 'judge']","['Just 6 years, sending a young sprout like that away and saying only 6 years, a nurse will live well after living for 6 years. This is not right. What are you doing when it's not enough to sentence her to death?', 'Judge, are you in your right mind? Did that idiot have a story? You sentenced her to 6 years. You're not a judge. Judge, when you die, the grim reaper will pick you upside down, shake you, throw you into hellfire, then beat you against a rock and throw you upside down.', 'Judge, are you in your right mind? Did that idiot have a story? You sentence her to 6 years. You're not a judge. Judge, when you die, the grim reaper will pick you upside down, shake you, throw you into hellfire, then beat you against a rock and throw you upside down.']",,,,,,,,,,,,,,,,,,,,,
232,162,,,232_5 minutes_2 hours ago_Home run ball_I thought it was long,"['5 minutes', '2 hours ago', 'I thought it was a home run ball', 'long', '27 minutes ago', '13 minutes ago', '20 seconds', '20 minutes ago', '14 minutes ago', 'came quickly']","['5 minutes is long, my house is 3 minutes lol', '5 minutes is long, my house is 3 minutes lol', '5 minutes is not long']",,,,,,,,,,,,,,,,,,,,,
233,125,,,233_Thank you for your hard work_Thank you for your hard work_Thank you for your hard work,"['Thank you for your hard work', 'You've worked hard', 'You've worked hard', 'You've worked hard', 'You've worked hard', 'You've worked hard', 'You've worked hard', 'You've worked hard', 'You've worked hard', 'You've worked hard', 'You've worked hard']","['You've worked hard, you've done a great job', 'You've had a hard time, thank you for your hard work', 'You've had a hard time, thank you for your hard work']",,,,,,,,,,,,,,,,,,,,,
234,147,,,234_At first_Okochi_moment_Surprised,"['At first', 'Okochi', 'Moment', 'Surprise', 'Surprise', 'Would I have been surprised', 'Surprise', 'In the comments', 'Almost fooled', 'Oh']","['The first comment is Okochie Jirin', 'The first comment is Okochie', 'The first comment is Okochie']",,,,,,,,,,,,,,,,,,,,,
235,121,,,235_Jesus_is_Jesus_the_pastor's_son,"['Jesus is', 'is', 'Jesus', 'pastor's son', 'church', 'sin and', 'is Christ', 'Buddha is', 'you', 'God']","['Jesus is the Christ who broke the power of hell on the cross and is the only way to meet God. If you believe in Jesus, you become a child of God and receive all the blessings of heaven. Believe in and accept Jesus. Jesus who loves you is the Creator God.', 'Jesus is the Christ who shed His blood on the cross and was resurrected to resolve your sin and curse. If you believe in Jesus, you are forever freed from the law of sin and death and become a child of God. Accept and believe in Jesus. Jesus who loves you is the Creator God.', 'Jesus is the only way to meet God. Jesus is the Christ who shed His blood on the cross and was resurrected to break the head of Satan and free you from the law of sin and death. If you accept and believe in Jesus, you become a child of God.']",,,,,,,,,,,,,,,,,,,,,
236,198,Population Structure,Old Age Care Demand,236_To_the_Daughter-in-Law_Old_Sons_In_Laws,"['To the daughter-in-law', 'old', 'sons', 'in-laws', 'son', 'role', 'son', 'many houses', 'to the in-laws', 'husband']","['Isn't this the generation that makes daughters soybean paste and makes people with sons shed tears? They're always right, but it's funny ㅋㅋ', 'It's funny that daughters take care of their old parents and visit them, but sons are responsible for their living expenses and hospital bills', 'It's funny that daughters take care of their old parents and visit them, but sons are responsible for their living expenses and hospital bills']",,,,,,,,,,,,,,,,,,,,,
237,104,Utility,Emotional Support,237_Cool guy_Man_Man_Cool,"['Cool guy', 'Man', 'He's a man', 'Cool', 'Responsible', 'Man', 'He's the man of my house', 'He looks happyㅋㅋㅋㅋ', 'He's a man', 'He's a man']","['awesome guy', 'a really cool guy', 'a really cool guy']",,,,,,,,,,,,,,,,,,,,,
238,181,,,238_Acting_Legend_Legend_Detail,"['acting', 'legend', 'legend', 'detail', 'the', 'concept', 'backspin', 'figure', 'face-to-face', 'Kim Park Choi Soo Yeon was thereㅋㅋㅋ']","['Really good acting', 'Really legendary acting', 'Really legendary acting']",,,,,,,,,,,,,,,,,,,,,
239,145,,,239_Similar_Similar_KeyChai_Must resemble,"['looks alike', 'looks alike', 'key difference', 'likes alike', 'two', 'thrilling', 'haalla', 'doesn't look alike', 'looks alike', 'juhantti']","['They look alike', 'They look alike', 'They look alike']",,,,,,,,,,,,,,,,,,,,,
240,110,,,240_Rain_Tonight_Rain_Tonight,"['It's raining', 'It's raining', 'Tonight', 'It's raining', 'It's raining', 'There's work to do', 'The Prime Minister', 'Let's be absent', 'Looking at the snow', 'It's sweet']","['It's going to rain tonight', 'ㅋㅋㅋㅋㅋㅋ It's going to rain tonight ㅋㅋ', 'ㅋㅋㅋㅋㅋㅋ It's going to rain tonight ㅋㅋㅋ']",,,,,,,,,,,,,,,,,,,,,
241,208,Population Structure,State Intervention,241_What_is_Itaewon_a_problem,"['What do you want me to do', 'What is it', 'Itaewon is', 'The problem is', 'What is it', 'It's a problem', 'The judge', 'It's a problem', 'Is it a problem', 'Explanation']","['I don't know what the problem is, but this is a country', 'The government is the problem, but they say it's our problem, lol', 'The government is the problem, but they say it's our problem, lol']",,,,,,,,,,,,,,,,,,,,,
242,189,Utility,Emotional Support,242_cute_cute_so_cute_so_cute,"['cute', 'cute', 'so', 'cute', 'so so', 'so so so', 'so so so so so', 'twins', 'lovely', 'so pretty', 'both']","['You're so cute', 'You're so cute', 'You're so cute']",,,,,,,,,,,,,,,,,,,,,
243,218,Population Structure,State Intervention,243_The law_The law_Our country_Punishment,"['law', 'law', 'our country', 'punishment', 'judge', 'Republic of Korea', 'the United States', 'law', 'our country is', 'only according to the law']","['The law in our country is too weak, so they keep doing such things without fear, the judges and prosecutors are all beggars and money laggards', 'The law is weak, so even if people in the world write comments, politicians and lawmakers don't care, and the world keeps getting scarier and scarier', 'The law is weak, so even if people in the world write comments, politicians and lawmakers don't care, and the world keeps getting scarier and scarier']",,,,,,,,,,,,,,,,,,,,,
244,190,,,244_Current_AirPod_Refrigerator_In_Ear,"['current', 'airpods', 'refrigerator', 'ear', 'gaslighting', 'electrocution', 'bond', 'sink', 'even the handle', 'grounding']","['If the grounding wasn't done properly, even if there's a current leak, current shouldn't flow. Ground your body properly. Made in China', 'The mart should be 100% responsible. Shut down the refrigerator company that made the current flow to the handle', 'Isn't the mart really that bad? If current flows wrong, even adults could get electrocuted in there. It's a murder mart']",,,,,,,,,,,,,,,,,,,,,
245,148,,,245_Singer_Hero Jaejoong_TVXQ_Jaejoong,"['Singer', 'Hero Jaejoong', 'TVXQ', 'Jaejoong', 'Dodoomchit', 'Baek Dongwook', 'You're getting prettier, have a nice week', 'Ma Dongseok', 'Oh Shinki', 'It seems like a story']","['Singer Jaejoong', 'Like singer Jaejoong', 'Like singer Jaejoong']",,,,,,,,,,,,,,,,,,,,,
246,226,Utility,Emotional Support,246_Be happy_Always_Be happy_In the future too,"['Be happy', 'Always', 'Be happy', 'In the future too', 'I support you', 'I hope you are happy', 'Be happy', 'Live', 'Have a good day', 'Please']","['Always be happy', 'I hope you are happy. I hope your family is healthy and happy and lives a long time. Don't get sick or hurt. I support your family', 'I hope you are happy. I hope your family is healthy and happy and lives a long time. Don't get sick or hurt. I support your family']",,,,,,,,,,,,,,,,,,,,,
